t,lead_I
1.9,-60423.399999999994
3.9,-66398.65
5.9,-72410.45
7.9,-78457.7
9.9,-84536.65
11.9,-90649.5
13.9,-96760.8
15.9,-102824.6
17.9,-108843.65000000001
19.9,-114840.55
21.9,-120819.75
23.9,-120842.25
25.9,-120827.2
27.9,-120836.15
29.9,-120833.35
31.9,-120803.10000000002
33.9,-120791.25
35.9,-120804.0
37.9,-120809.1
39.9,-120809.8
41.9,-120820.75000000001
43.9,-120828.40000000001
45.9,-120825.35
47.9,-120817.95
49.9,-120794.9
51.9,-120749.35000000002
53.9,-120709.90000000001
55.9,-120698.54999999999
57.9,-120696.75000000001
59.9,-120685.45000000003
61.9,-120672.95
63.88,-120666.1
65.85,-120657.6
67.83,-120643.45000000001
69.8,-120622.20000000001
71.8,-120590.54999999999
73.8,-120557.34999999999
75.8,-120536.00000000001
77.8,-120522.50000000001
79.8,-120506.75000000003
81.8,-120492.50000000003
83.8,-120484.90000000002
85.8,-120479.10000000002
87.8,-120472.40000000001
89.8,-120465.35
91.8,-120453.05
93.8,-120434.90000000001
95.8,-120422.05000000002
97.8,-120421.90000000001
99.8,-120427.5
101.8,-120428.1
103.8,-120421.30000000002
105.8,-120411.70000000001
107.8,-120401.15000000001
109.8,-120385.70000000003
111.8,-120364.35000000003
113.8,-120341.30000000002
115.8,-120318.80000000002
117.8,-120301.34999999999
119.8,-120299.2
121.8,-120308.1
123.8,-120306.6
125.8,-120290.5
127.8,-120279.35
129.8,-120278.25000000001
131.8,-120272.35
133.8,-120257.6
135.8,-120241.45000000001
137.8,-120226.1
139.8,-120218.59999999999
141.8,-120229.29999999999
143.78,-120245.85
145.75,-120245.15000000001
147.73,-120230.70000000001
149.7,-120219.85
151.7,-120210.1
153.7,-120195.30000000002
155.7,-120186.50000000001
157.7,-120187.35000000002
159.7,-120185.65000000001
161.7,-120183.35
163.7,-120190.15000000001
165.7,-120192.6
167.7,-120174.35
169.7,-120150.20000000003
171.7,-120141.10000000002
173.7,-120143.00000000001
175.7,-120144.65000000002
177.7,-120147.40000000002
179.7,-120155.85
181.7,-120170.85
183.7,-120189.84999999999
185.7,-120204.55
187.7,-120209.1
189.7,-120209.4
191.7,-120213.9
193.7,-120223.90000000001
195.7,-120239.50000000001
197.7,-120262.45000000001
199.7,-120290.6
201.7,-120320.7
203.7,-120353.65
205.7,-120389.40000000001
207.7,-120421.8
209.7,-120443.90000000001
211.7,-120456.45
213.7,-120468.3
215.7,-120486.75
217.7,-120508.00000000001
219.7,-120521.95000000001
221.7,-120527.05000000002
223.68,-120533.85000000002
225.65,-120550.95000000003
227.63,-120573.15000000002
229.6,-120588.3
231.6,-120593.05
233.6,-120597.34999999999
235.6,-120610.84999999999
237.6,-120628.7
239.6,-120637.7
241.6,-120634.75
243.6,-120631.1
245.6,-120635.8
